         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
    753/4    0.006    0.000    6.051    1.513 <frozen importlib._bootstrap>:1002(_find_and_load)
     13/3    0.000    0.000    1.180    0.393 <frozen importlib._bootstrap>:1018(_gcd_import)
  783/441    0.001    0.000    2.943    0.007 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1635    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:112(release)
      753    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      753    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:156(__enter__)
      753    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
     1635    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      882    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    967/4    0.001    0.000    6.046    1.512 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     5957    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      611    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      789    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
     1297    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:385(cached)
     1154    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      721    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      721    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  721/667    0.001    0.000    4.431    0.007 <frozen importlib._bootstrap>:558(module_from_spec)
      750    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
    721/4    0.003    0.000    6.048    1.512 <frozen importlib._bootstrap>:659(_load_unlocked)
      740    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      720    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
     1635    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(acquire)
     2975    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     2975    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
  742/540    0.005    0.000    1.105    0.002 <frozen importlib._bootstrap>:901(_find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    750/4    0.003    0.000    6.051    1.513 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      611    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      611    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      611    0.002    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      611    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     5656    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
       75    0.000    0.000    4.329    0.058 <frozen importlib._bootstrap_external>:1171(create_module)
    75/47    0.000    0.000    1.198    0.025 <frozen importlib._bootstrap_external>:1179(exec_module)
     1222    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     3666    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       89    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
     1192    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     3009    0.002    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      720    0.003    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      720    0.001    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     1180    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
