wind_speed_lower_m,wind_speed_upper_m, damage ,scenario,source
0,10, -   ,baseline,Miyamoto International (2019)
10,20, -   ,baseline,Miyamoto International (2019)
20,30, -   ,baseline,Miyamoto International (2019)
30,40, -   ,baseline,Miyamoto International (2019)
40,50, 0.06 ,baseline,Miyamoto International (2019)
50,60, 0.20 ,baseline,Miyamoto International (2019)
60,70, 0.73 ,baseline,Miyamoto International (2019)
70,80, 0.98 ,baseline,Miyamoto International (2019)
80,90, 1.00 ,baseline,Miyamoto International (2019)
90,100, 1.00 ,baseline,Miyamoto International (2019)
100,110, 1.00 ,baseline,Miyamoto International (2019)
110,120, 1.00 ,baseline,Miyamoto International (2019)
120,500, 1.00 ,baseline,Miyamoto International (2019)
0,10, -   ,low,Miyamoto International (2019)
10,20, -   ,low,Miyamoto International (2019)
20,30, -   ,low,Miyamoto International (2019)
30,40, -   ,low,Miyamoto International (2019)
40,50, 0.04 ,low,Miyamoto International (2019)
50,60, 0.14 ,low,Miyamoto International (2019)
60,70, 0.51 ,low,Miyamoto International (2019)
70,80, 0.69 ,low,Miyamoto International (2019)
80,90, 0.70 ,low,Miyamoto International (2019)
90,100, 0.70 ,low,Miyamoto International (2019)
100,110, 0.70 ,low,Miyamoto International (2019)
110,120, 0.70 ,low,Miyamoto International (2019)
120,500, 0.70 ,low,Miyamoto International (2019)
0,10, -   ,high,Miyamoto International (2019)
10,20, -   ,high,Miyamoto International (2019)
20,30, -   ,high,Miyamoto International (2019)
30,40, -   ,high,Miyamoto International (2019)
40,50, 0.07 ,high,Miyamoto International (2019)
50,60, 0.26 ,high,Miyamoto International (2019)
60,70, 0.94 ,high,Miyamoto International (2019)
70,80, 1.00 ,high,Miyamoto International (2019)
80,90, 1.00 ,high,Miyamoto International (2019)
90,100, 1.00 ,high,Miyamoto International (2019)
100,110, 1.00 ,high,Miyamoto International (2019)
110,120, 1.00 ,high,Miyamoto International (2019)
120,500, 1.00 ,high,Miyamoto International (2019)
