climatescenario,subsidence_model,year,returnperiod,cell_count_baseline,cost_usd_baseline
historical,wtsub,2030,rp0100,17550,412012000
historical,wtsub,2030,rp0250,18705,444184000
historical,wtsub,2030,rp0500,20067,482114000
historical,wtsub,2030,rp1000,23437,545312000
historical,wtsub,2050,rp0100,17550,412012000
historical,wtsub,2050,rp0250,18705,444194000
historical,wtsub,2050,rp0500,20067,482114000
historical,wtsub,2050,rp1000,23437,545312000
historical,wtsub,2080,rp0100,17550,412012000
historical,wtsub,2080,rp0250,18705,444194000
historical,wtsub,2080,rp0500,20067,482114000
historical,wtsub,2080,rp1000,23437,545312000
historical,wtsub,hist,rp0100,17550,412012000
historical,wtsub,hist,rp0250,18705,444184000
historical,wtsub,hist,rp0500,20067,482114000
historical,wtsub,hist,rp1000,23437,545312000
rcp4p5,wtsub,2030,rp0100,57875,1369790000
rcp4p5,wtsub,2030,rp0250,64678,1538212000
rcp4p5,wtsub,2030,rp0500,72782,1703726000
rcp4p5,wtsub,2030,rp1000,78217,1835984000
rcp4p5,wtsub,2050,rp0100,63567,1514372000
rcp4p5,wtsub,2050,rp0250,72092,1703596000
rcp4p5,wtsub,2050,rp0500,78506,1857392000
rcp4p5,wtsub,2050,rp1000,83646,1984042000
rcp4p5,wtsub,2080,rp0100,75503,1806438000
rcp4p5,wtsub,2080,rp0250,84027,2012004000
rcp4p5,wtsub,2080,rp0500,90565,2170142000
rcp4p5,wtsub,2080,rp1000,95493,2308984000
rcp8p5,wtsub,2030,rp0100,58032,1375176000
rcp8p5,wtsub,2030,rp0250,64911,1546048000
rcp8p5,wtsub,2030,rp0500,73420,1716832000
rcp8p5,wtsub,2030,rp1000,78761,1848776000
rcp8p5,wtsub,2050,rp0100,66704,1577582000
rcp8p5,wtsub,2050,rp0250,74669,1763956000
rcp8p5,wtsub,2050,rp0500,80351,1905778000
rcp8p5,wtsub,2050,rp1000,85648,2044306000
rcp8p5,wtsub,2080,rp0100,83589,2011556000
rcp8p5,wtsub,2080,rp0250,92267,2221092000
rcp8p5,wtsub,2080,rp0500,97958,2381912000
rcp8p5,wtsub,2080,rp1000,102728,2534090000
