climatescenario,subsidence_model,year,returnperiod,cell_count_low,cost_usd_low
historical,000000000WATCH,1980,rp00100.csv,24391,257201600
historical,000000000WATCH,1980,rp00250.csv,25761,299689200
historical,000000000WATCH,1980,rp00500.csv,26549,315472400
historical,000000000WATCH,1980,rp01000.csv,28485,397186800
rcp4p5,00000NorESM1-M,2030,rp00100.csv,24312,254295200
rcp4p5,00000NorESM1-M,2030,rp00250.csv,24857,265520400
rcp4p5,00000NorESM1-M,2030,rp00500.csv,25690,302128800
rcp4p5,00000NorESM1-M,2030,rp01000.csv,26319,349079600
rcp4p5,00000NorESM1-M,2050,rp00100.csv,24446,259042000
rcp4p5,00000NorESM1-M,2050,rp00250.csv,25684,302674000
rcp4p5,00000NorESM1-M,2050,rp00500.csv,26495,350336000
rcp4p5,00000NorESM1-M,2050,rp01000.csv,28382,397392800
rcp4p5,00000NorESM1-M,2080,rp00100.csv,24384,256087600
rcp4p5,00000NorESM1-M,2080,rp00250.csv,25366,270345200
rcp4p5,00000NorESM1-M,2080,rp00500.csv,26012,307017200
rcp4p5,00000NorESM1-M,2080,rp01000.csv,26815,353204800
rcp4p5,0000GFDL-ESM2M,2030,rp00100.csv,24228,228456000
rcp4p5,0000GFDL-ESM2M,2030,rp00250.csv,24450,259206800
rcp4p5,0000GFDL-ESM2M,2030,rp00500.csv,25497,270163200
rcp4p5,0000GFDL-ESM2M,2030,rp01000.csv,26138,340407200
rcp4p5,0000GFDL-ESM2M,2050,rp00100.csv,24275,249120800
rcp4p5,0000GFDL-ESM2M,2050,rp00250.csv,24490,259136400
rcp4p5,0000GFDL-ESM2M,2050,rp00500.csv,25588,295641600
rcp4p5,0000GFDL-ESM2M,2050,rp01000.csv,26196,343327200
rcp4p5,0000GFDL-ESM2M,2080,rp00100.csv,24035,223557200
rcp4p5,0000GFDL-ESM2M,2080,rp00250.csv,24421,254513200
rcp4p5,0000GFDL-ESM2M,2080,rp00500.csv,24996,301872800
rcp4p5,0000GFDL-ESM2M,2080,rp01000.csv,25790,337454400
rcp4p5,0000HadGEM2-ES,2030,rp00100.csv,24483,263153600
rcp4p5,0000HadGEM2-ES,2030,rp00250.csv,24708,270501200
rcp4p5,0000HadGEM2-ES,2030,rp00500.csv,25669,299726000
rcp4p5,0000HadGEM2-ES,2030,rp01000.csv,26228,344820400
rcp4p5,0000HadGEM2-ES,2050,rp00100.csv,24270,237368400
rcp4p5,0000HadGEM2-ES,2050,rp00250.csv,24660,263049200
rcp4p5,0000HadGEM2-ES,2050,rp00500.csv,25255,271886400
rcp4p5,0000HadGEM2-ES,2050,rp01000.csv,26082,344058400
rcp4p5,0000HadGEM2-ES,2080,rp00100.csv,24586,261674400
rcp4p5,0000HadGEM2-ES,2080,rp00250.csv,25602,274047600
rcp4p5,0000HadGEM2-ES,2080,rp00500.csv,25961,342265200
rcp4p5,0000HadGEM2-ES,2080,rp01000.csv,26854,358686800
rcp4p5,00IPSL-CM5A-LR,2030,rp00100.csv,24399,255204400
rcp4p5,00IPSL-CM5A-LR,2030,rp00250.csv,25400,268622400
rcp4p5,00IPSL-CM5A-LR,2030,rp00500.csv,26012,341039600
rcp4p5,00IPSL-CM5A-LR,2030,rp01000.csv,26890,352408400
rcp4p5,00IPSL-CM5A-LR,2050,rp00100.csv,24300,252553600
rcp4p5,00IPSL-CM5A-LR,2050,rp00250.csv,24927,263363200
rcp4p5,00IPSL-CM5A-LR,2050,rp00500.csv,25645,297075200
rcp4p5,00IPSL-CM5A-LR,2050,rp01000.csv,26222,345546000
rcp4p5,00IPSL-CM5A-LR,2080,rp00100.csv,24297,252378000
rcp4p5,00IPSL-CM5A-LR,2080,rp00250.csv,25360,265746800
rcp4p5,00IPSL-CM5A-LR,2080,rp00500.csv,25971,302358000
rcp4p5,00IPSL-CM5A-LR,2080,rp01000.csv,26435,346444800
rcp4p5,MIROC-ESM-CHEM,2030,rp00100.csv,25040,271446000
rcp4p5,MIROC-ESM-CHEM,2030,rp00250.csv,26083,313717600
rcp4p5,MIROC-ESM-CHEM,2030,rp00500.csv,26998,320930800
rcp4p5,MIROC-ESM-CHEM,2030,rp01000.csv,28704,365768000
rcp4p5,MIROC-ESM-CHEM,2050,rp00100.csv,25492,270583600
rcp4p5,MIROC-ESM-CHEM,2050,rp00250.csv,26188,316758000
rcp4p5,MIROC-ESM-CHEM,2050,rp00500.csv,28155,396466800
rcp4p5,MIROC-ESM-CHEM,2050,rp01000.csv,29282,419780800
rcp4p5,MIROC-ESM-CHEM,2080,rp00100.csv,25998,310281600
rcp4p5,MIROC-ESM-CHEM,2080,rp00250.csv,27679,361786000
rcp4p5,MIROC-ESM-CHEM,2080,rp00500.csv,29194,383531200
rcp4p5,MIROC-ESM-CHEM,2080,rp01000.csv,29998,493202000
rcp4p5,model-mean,2030,rp00100.csv,18620,193489200
rcp4p5,model-mean,2030,rp00250.csv,19351,202890800
rcp4p5,model-mean,2030,rp00500.csv,20185,230576800
rcp4p5,model-mean,2030,rp01000.csv,21470,270142800
rcp4p5,model-mean,2050,rp00100.csv,19111,197602000
rcp4p5,model-mean,2050,rp00250.csv,19562,206166400
rcp4p5,model-mean,2050,rp00500.csv,20976,262683600
rcp4p5,model-mean,2050,rp01000.csv,21825,273901600
rcp4p5,model-mean,2080,rp00100.csv,19546,202596800
rcp4p5,model-mean,2080,rp00250.csv,20685,230862000
rcp4p5,model-mean,2080,rp00500.csv,21858,245806800
rcp4p5,model-mean,2080,rp01000.csv,22447,279658400
rcp8p5,00000NorESM1-M,2030,rp00100.csv,24283,253702000
rcp8p5,00000NorESM1-M,2030,rp00250.csv,25202,262847200
rcp8p5,00000NorESM1-M,2030,rp00500.csv,25730,301999200
rcp8p5,00000NorESM1-M,2030,rp01000.csv,26455,349164000
rcp8p5,00000NorESM1-M,2050,rp00100.csv,24414,255978400
