,gid_id,mean_cell_count_baseline,cost_usd_baseline
0,AFG.1.2_1,1.0,33333.0
1,AFG.1.3_1,2.0,66666.0
2,AFG.11.5_1,5.0,143333.0
3,AFG.12.15_1,1.0,16667.0
4,AFG.12.2_1,1.0,16667.0
5,AFG.12.8_1,1.0,24167.0
6,AFG.14.1_1,43.5,709174.5
7,AFG.14.2_1,2.0,43334.0
8,AFG.14.3_1,21.0,440839.0
9,AFG.14.6_1,56.0,875014.0
10,AFG.15.11_1,1.0,33333.0
11,AFG.15.3_1,4.0,71668.0
12,AFG.21.4_1,1.0,21667.0
13,AFG.22.20_1,1.0,33333.0
14,AFG.23.5_1,1.5,16666.5
15,AFG.29.1_1,1.0,8333.0
16,AFG.29.3_1,1.0,8333.0
17,AFG.3.11_1,1.0,30000.0
18,AFG.3.8_1,1.0,16667.0
19,AFG.31.10_1,1.0,21667.0
20,AFG.32.6_1,2.0,43334.0
21,AFG.34.9_1,1.0,16667.0
22,AFG.4.12_1,1.0,8333.0
23,AFG.4.7_1,1.0,12500.0
24,AFG.7.4_1,1.0,12500.0
25,AGO.1.2_1,13.0,243337.0
26,AGO.11.1_1,12.0,343332.0
27,AGO.11.7_1,1.0,26667.0
28,AGO.11.9_1,1.0,26667.0
29,AGO.12.8_1,2.0,60000.0
30,AGO.18.3_1,1.0,27500.0
31,AGO.18.5_1,5.0,146667.0
32,AGO.2.1_1,1.0,16667.0
33,AGO.2.3_1,7.0,100001.0
34,AGO.2.8_1,1.0,8333.0
35,AGO.2.9_1,19.0,488339.0
36,AGO.4.2_1,1.0,19167.0
37,AGO.5.1_1,1.0,33333.0
38,AGO.5.5_1,1.0,26667.0
39,AGO.5.7_1,1.0,16667.0
40,AGO.6.5_1,1.0,33333.0
41,AGO.6.9_1,1.0,30000.0
42,AGO.7.11_1,3.0,24999.0
43,AGO.7.5_1,1.0,33333.0
44,AGO.8.5_1,1.0,8333.0
45,AGO.8.6_1,1.0,19167.0
46,ALB.1.1_1,13.0,238337.0
47,ALB.1.2_1,3.5,29165.5
48,ALB.10.1_1,5.0,62500.0
49,ALB.10.3_1,67.5,1392519.5
50,ALB.11.1_1,10.0,120833.0
51,ALB.12.1_1,18.0,300006.0
52,ALB.12.2_1,12.0,200004.0
53,ALB.12.3_1,5.0,83335.0
54,ALB.2.2_1,2.0,66666.0
55,ALB.2.3_1,5.0,85834.0
56,ALB.3.1_1,12.0,120831.0
57,ALB.3.2_1,13.0,296671.0
58,ALB.4.1_1,9.0,108333.0
59,ALB.4.2_1,1.0,8333.0
60,ALB.4.3_1,2.0,25000.0
61,ALB.4.4_1,13.0,162500.0
62,ALB.5.1_1,12.0,104163.0
