interaction,continent,probability,climate_scenario,flooded_area_km2
"Historical
1980",Africa,0.1%,Historical,0.016
"Historical
1980",Africa,0.2%,Historical,0.016
"Historical
1980",Africa,0.4%,Historical,0.014
"Historical
1980",Africa,1%,Historical,0.013000000000000001
"Historical
1980",Asia,0.1%,Historical,0.177
"Historical
1980",Asia,0.2%,Historical,0.169
"Historical
1980",Asia,0.4%,Historical,0.16
"Historical
1980",Asia,1%,Historical,0.153
"Historical
1980",Europe,0.1%,Historical,0.046
"Historical
1980",Europe,0.2%,Historical,0.045
"Historical
1980",Europe,0.4%,Historical,0.043
"Historical
1980",Europe,1%,Historical,0.041999999999999996
"Historical
1980","North
America",0.1%,Historical,0.077
"Historical
1980","North
America",0.2%,Historical,0.074
"Historical
1980","North
America",0.4%,Historical,0.069
"Historical
1980","North
America",1%,Historical,0.064
"Historical
1980",Oceania,0.1%,Historical,0.032
"Historical
1980",Oceania,0.2%,Historical,0.03
"Historical
1980",Oceania,0.4%,Historical,0.027
"Historical
1980",Oceania,1%,Historical,0.024
"Historical
1980","South
America",0.1%,Historical,0.019
"Historical
1980","South
America",0.2%,Historical,0.017
"Historical
1980","South
America",0.4%,Historical,0.017
"Historical
1980","South
America",1%,Historical,0.016
"RCP4.5
2030",Africa,0.1%,RCP4.5,0.02
"RCP4.5
2030",Africa,0.2%,RCP4.5,0.02
"RCP4.5
2030",Africa,0.4%,RCP4.5,0.02
"RCP4.5
2030",Africa,1%,RCP4.5,0.019
"RCP4.5
2030",Asia,0.1%,RCP4.5,0.202
"RCP4.5
2030",Asia,0.2%,RCP4.5,0.193
"RCP4.5
2030",Asia,0.4%,RCP4.5,0.177
"RCP4.5
2030",Asia,1%,RCP4.5,0.167
"RCP4.5
2030",Europe,0.1%,RCP4.5,0.048
"RCP4.5
2030",Europe,0.2%,RCP4.5,0.048
"RCP4.5
2030",Europe,0.4%,RCP4.5,0.048
"RCP4.5
2030",Europe,1%,RCP4.5,0.046
"RCP4.5
2030","North
America",0.1%,RCP4.5,0.087
"RCP4.5
2030","North
America",0.2%,RCP4.5,0.082
"RCP4.5
2030","North
America",0.4%,RCP4.5,0.079
"RCP4.5
2030","North
America",1%,RCP4.5,0.073
"RCP4.5
2030",Oceania,0.1%,RCP4.5,0.035
"RCP4.5
2030",Oceania,0.2%,RCP4.5,0.033
"RCP4.5
2030",Oceania,0.4%,RCP4.5,0.03
