iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
AFG,inuncoast,historical,wtsub,hist,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,historical,wtsub,hist,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,historical,wtsub,hist,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,historical,wtsub,hist,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp4p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
AFG,inuncoast,rcp8p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
AGO,inuncoast,historical,wtsub,hist,rp0100,0,0.18,0.8336126846926553,1.1443894,0,Africa
AGO,inuncoast,historical,wtsub,hist,rp0250,0,0.03,0.8365830667316915,1.1762601,0,Africa
AGO,inuncoast,historical,wtsub,hist,rp0500,0,0.02,0.5817578161756197,1.200325,0,Africa
AGO,inuncoast,historical,wtsub,hist,rp1000,0,0.0,0.44273555113209617,1.2243725,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2030,rp0100,0,0.1,0.5141321155760024,1.3284894,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2030,rp0250,0,0.03,0.52172123392423,1.3603601,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2030,rp0500,0,0.06,0.5476207137107849,1.384425,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2030,rp1000,0,0.02,0.5653400549521812,1.4084725,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2050,rp0100,0,0.01,0.6160686339650836,1.4714894,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2050,rp0250,0,0.03,0.643345176378886,1.5033602,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2050,rp0500,0,0.02,0.6573777225282458,1.527425,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2050,rp1000,0,0.02,0.6779279294766878,1.5514725,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2080,rp0100,0,0.01,0.7220963959892591,1.7578894,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2080,rp0250,0,0.02,0.6449341597137871,1.7897601,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2080,rp0500,0,0.01,0.6228894689580896,1.813825,0,Africa
AGO,inuncoast,rcp4p5,wtsub,2080,rp1000,0,0.03,0.6442085892435104,1.8378725,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2030,rp0100,0,0.0,0.4963008046150207,1.3383894,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2030,rp0250,0,0.04,0.5306012292702993,1.3702601,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2030,rp0500,0,0.07,0.5565007090568542,1.394325,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2030,rp1000,0,0.03,0.5742200502982506,1.4183725,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2050,rp0100,0,0.03,0.6470197018455057,1.5132893,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2050,rp0250,0,0.0,0.6704177781155234,1.54516,0,Africa
