region,country,iso3
South Asia,Afghanistan,AFG
Europe & Central Asia,Albania,ALB
Middle East & North Africa,Algeria,DZA
Europe & Central Asia,Andorra,AND
Sub-Saharan Africa,Angola,AGO
Latin America & Caribbean,Antigua and Barbuda,ATG
Latin America & Caribbean,Argentina,ARG
Europe & Central Asia,Armenia,ARM
Latin America & Caribbean,Aruba,ABW
East Asia & Pacific,Australia,AUS
Europe & Central Asia,Austria,AUT
Europe & Central Asia,Azerbaijan,AZE
Latin America & Caribbean,"Bahamas, The",BHS
Middle East & North Africa,Bahrain,BHR
South Asia,Bangladesh,BGD
Latin America & Caribbean,Barbados,BRB
Europe & Central Asia,Belarus,BLR
Europe & Central Asia,Belgium,BEL
Latin America & Caribbean,Belize,BLZ
Sub-Saharan Africa,Benin,BEN
North America,Bermuda,BMU
South Asia,Bhutan,BTN
Latin America & Caribbean,Bolivia,BOL
Europe & Central Asia,Bosnia and Herzegovina,BIH
Sub-Saharan Africa,Botswana,BWA
Latin America & Caribbean,Brazil,BRA
Latin America & Caribbean,British Virgin Islands,VGB
East Asia & Pacific,Brunei Darussalam,BRN
Europe & Central Asia,Bulgaria,BGR
Sub-Saharan Africa,Burkina Faso,BFA
Sub-Saharan Africa,Burundi,BDI
East Asia & Pacific,Cambodia,KHM
Sub-Saharan Africa,Cameroon,CMR
North America,Canada,CAN
Latin America & Caribbean,Cayman Islands,CYM
Sub-Saharan Africa,Chad,TCD
Latin America & Caribbean,Chile,CHL
East Asia & Pacific,China,CHN
Latin America & Caribbean,Colombia,COL
Sub-Saharan Africa,Comoros,#N/A
Sub-Saharan Africa,"Congo, Dem. Rep.",COD
Sub-Saharan Africa,"Congo, Rep.",COG
Latin America & Caribbean,Costa Rica,CRI
Sub-Saharan Africa,Cote d'Ivoire,CIV
Europe & Central Asia,Croatia,HRV
Latin America & Caribbean,Curacao,CUW
Europe & Central Asia,Cyprus,CYP
Europe & Central Asia,Czech Republic,CZE
Europe & Central Asia,Denmark,DNK
Middle East & North Africa,Djibouti,DJI
Latin America & Caribbean,Dominica,DMA
Latin America & Caribbean,Dominican Republic,DOM
Latin America & Caribbean,Ecuador,ECU
Middle East & North Africa,"Egypt, Arab Rep.",EGY
Latin America & Caribbean,El Salvador,SLV
Europe & Central Asia,Estonia,EST
Sub-Saharan Africa,Eswatini,SWZ
Sub-Saharan Africa,Ethiopia,ETH
Europe & Central Asia,Faroe Islands,FRO
East Asia & Pacific,Fiji,FJI
Europe & Central Asia,Finland,FIN
Europe & Central Asia,France,FRA
East Asia & Pacific,French Polynesia,PYF
Sub-Saharan Africa,Gabon,GAB
Sub-Saharan Africa,"Gambia, The",GMB
Europe & Central Asia,Georgia,GEO
Europe & Central Asia,Germany,DEU
