radio,net,cell,latitude,longitude,gid_level,gid_id,cellid4326,depth,damage_low,damage_baseline,damage_high,cost_usd_low,cost_usd_baseline,cost_usd_high
GSM,1,31,5.8785324,0.5903548,GID_2,GHA.5.3_1,5.8785324_0.5903548000000001,0.022078156,0.13,0.25,0.5,4333,8333,16667
UMTS,2,921734,5.649487563,-0.066857063,GID_2,GHA.5.6_1,5.6494875625_-0.06685706250000001,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,2,921851,5.647437667,-0.072818333,GID_2,GHA.5.6_1,5.647437666666668_-0.07281833333333333,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,1,525627,5.643889882,-0.072145605,GID_2,GHA.5.6_1,5.643889881578945_-0.0721456052631579,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,1,525591,5.642442735,-0.066804,GID_2,GHA.5.6_1,5.642442735294118_-0.06680399999999999,0.027416915,0.13,0.25,0.5,4333,8333,16667
LTE,1,563,5.6462085,-0.069929,GID_2,GHA.5.6_1,5.6462085_-0.06992899999999999,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,3,40,5.6485505,-0.0676765,GID_2,GHA.5.6_1,5.648550500000001_-0.0676765,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,6,36182,5.520858667,-0.409011667,GID_2,GHA.3.7_1,5.520858666666666_-0.4090116666666666,0.027416915,0.13,0.25,0.5,4333,8333,16667
GSM,6,172,5.524520667,-0.409469667,GID_2,GHA.3.7_1,5.5245206666666675_-0.4094696666666667,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,1,784028,5.523147667,-0.411300667,GID_2,GHA.3.7_1,5.523147666666667_-0.4113006666666667,0.027416915,0.13,0.25,0.5,4333,8333,16667
UMTS,1,5,5.552793,-0.182679,GID_2,GHA.5.1_1,5.552793_-0.182679,0.057416916,0.13,0.25,0.5,4333,8333,16667
UMTS,1,4,5.55212975,-0.182784,GID_2,GHA.5.1_1,5.552129750000001_-0.18278399999999997,0.057416916,0.13,0.25,0.5,4333,8333,16667
LTE,1,113,5.554878,-0.1789195,GID_2,GHA.5.1_1,5.554878_-0.1789195,0.057416916,0.13,0.25,0.5,4333,8333,16667
UMTS,3,992,5.557022,-0.181961,GID_2,GHA.5.1_1,5.557022_-0.181961,0.057416916,0.13,0.25,0.5,4333,8333,16667
UMTS,6,62031,6.120071,1.180344,GID_2,GHA.9.8_1,6.120071_1.180344,0.057724237,0.13,0.25,0.5,4333,8333,16667
LTE,1,1721,6.1022185,1.146011,GID_2,GHA.9.8_1,6.102218499999999_1.146011,0.071399391,0.13,0.25,0.5,4333,8333,16667
UMTS,6,62038,6.103592,1.146011,GID_2,GHA.9.8_1,6.103592_1.146011,0.071399391,0.13,0.25,0.5,4333,8333,16667
GSM,6,45,5.793228,0.907059,GID_2,GHA.9.7_1,5.793228_0.907059,0.082078218,0.13,0.25,0.5,4333,8333,16667
UMTS,1,525379,5.870304,0.55738475,GID_2,GHA.5.3_1,5.870304_0.55738475,0.092078209,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870566,5.340042,-0.626907,GID_2,GHA.3.7_1,5.340042_-0.626907,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870605,5.337296,-0.625534,GID_2,GHA.3.7_1,5.337296_-0.625534,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,3,107,5.344063857,-0.626351429,GID_2,GHA.3.7_1,5.3440638571428565_-0.6263514285714286,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,3,68,5.3426695,-0.626159667,GID_2,GHA.3.7_1,5.3426694999999995_-0.6261596666666667,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,3,53,5.336609,-0.630341,GID_2,GHA.3.7_1,5.336609_-0.630341,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,3,745,5.338669,-0.786209,GID_2,GHA.3.9_1,5.338669_-0.786209,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,3,52,5.367050333,-0.733566333,GID_2,GHA.3.9_1,5.367050333333334_-0.7335663333333334,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,3,1001,5.340042,-0.773849,GID_2,GHA.3.9_1,5.340042_-0.773849,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,2,49,5.385999273,-0.724010909,GID_2,GHA.3.9_1,5.385999272727274_-0.7240109090909089,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,2,127,5.384052857,-0.753871429,GID_2,GHA.3.9_1,5.384052857142857_-0.7538714285714285,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,2,88,5.390546714,-0.71858,GID_2,GHA.3.9_1,5.390546714285714_-0.71858,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870528,5.355348444,-0.717035,GID_2,GHA.3.9_1,5.355348444444444_-0.717035,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870645,5.351439,-0.6979766,GID_2,GHA.3.9_1,5.351439_-0.6979766000000001,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870644,5.366135,-0.681839,GID_2,GHA.3.9_1,5.366135_-0.681839,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870527,5.363388,-0.688705,GID_2,GHA.3.9_1,5.363388_-0.688705,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,2,870606,5.354972333,-0.681710333,GID_2,GHA.3.9_1,5.3549723333333334_-0.6817103333333333,0.150458097,0.13,0.25,0.5,4333,8333,16667
UMTS,6,61861,5.3379825,-0.737457,GID_2,GHA.3.9_1,5.3379825_-0.737457,0.150458097,0.13,0.25,0.5,4333,8333,16667
GSM,6,165,5.348969,-0.730019,GID_2,GHA.3.9_1,5.348969_-0.730019,0.150458097,0.13,0.25,0.5,4333,8333,16667
